ID	ToothNumberPathologies	ArcadeNumberPathologies	ArcadeOralHealthNumberPathologies	Abscess	CariesTooth	CariesAll	BirthPlace	TimePeriodLocation	Population	TimePeriod	Location	Order	GC_Content
CS38								HistoricEurope	RadcliffeInfirmary	Historic	Europe	2	46
CS37								HistoricEurope	RadcliffeInfirmary	Historic	Europe	2	38
CS36								HistoricEurope	RadcliffeInfirmary	Historic	Europe	2	47
CS35								HistoricEurope	RadcliffeInfirmary	Historic	Europe	2	47
CS34								HistoricEurope	RadcliffeInfirmary	Historic	Europe	2	50
CS33								HistoricEurope	RadcliffeInfirmary	Historic	Europe	2	48
CS32								HistoricEurope	RadcliffeInfirmary	Historic	Europe	2	42
CS31								HistoricEurope	RadcliffeInfirmary	Historic	Europe	2	40
CS30								HistoricEurope	RadcliffeInfirmary	Historic	Europe	2	53
CS29								HistoricEurope	RadcliffeInfirmary	Historic	Europe	2	41
CS28								HistoricEurope	RadcliffeInfirmary	Historic	Europe	2	44
CS27								HistoricEurope	RadcliffeInfirmary	Historic	Europe	2	50
CS26								HistoricEurope	RadcliffeInfirmary	Historic	Europe	2	49
CS24								HistoricEurope	RadcliffeInfirmary	Historic	Europe	2	45
CS23								HistoricEurope	RadcliffeInfirmary	Historic	Europe	2	46
CS22								HistoricEurope	RadcliffeInfirmary	Historic	Europe	2	46
CS21								HistoricEurope	RadcliffeInfirmary	Historic	Europe	2	50
CS20								HistoricEurope	RadcliffeInfirmary	Historic	Europe	2	42
CS19								HistoricEurope	RadcliffeInfirmary	Historic	Europe	2	47
CS18								HistoricEurope	RadcliffeInfirmary	Historic	Europe	2	41
CS17								HistoricEurope	RadcliffeInfirmary	Historic	Europe	2	49
CS16								HistoricEurope	RadcliffeInfirmary	Historic	Europe	2	49
CS15								HistoricEurope	RadcliffeInfirmary	Historic	Europe	2	50
CS14								HistoricEurope	RadcliffeInfirmary	Historic	Europe	2	47
CS13								HistoricEurope	RadcliffeInfirmary	Historic	Europe	2	47
CS12								HistoricEurope	RadcliffeInfirmary	Historic	Europe	2	42
CS11								HistoricEurope	RadcliffeInfirmary	Historic	Europe	2	48
CS10								HistoricEurope	RadcliffeInfirmary	Historic	Europe	2	47
CS09								HistoricEurope	RadcliffeInfirmary	Historic	Europe	2	46
CS08								HistoricEurope	RadcliffeInfirmary	Historic	Europe	2	51
CS04								HistoricEurope	RadcliffeInfirmary	Historic	Europe	2	52
CS03								HistoricEurope	RadcliffeInfirmary	Historic	Europe	2	40
CS02								HistoricEurope	RadcliffeInfirmary	Historic	Europe	2	43
CS01								HistoricEurope	RadcliffeInfirmary	Historic	Europe	2	48
Abusir1594								AncientAfrica	AbusirElMeleq_Egypt	Ancient	Africa	1	43
Abusir1574								AncientAfrica	AbusirElMeleq_Egypt	Ancient	Africa	1	45
Abusir1519								AncientAfrica	AbusirElMeleq_Egypt	Ancient	Africa	1	46
Abusir1511								AncientAfrica	AbusirElMeleq_Egypt	Ancient	Africa	1	58
Abusir1504								AncientAfrica	AbusirElMeleq_Egypt	Ancient	Africa	1	43
Edo10								HistoricAsia	Edo_Japan	Historic	Asia	2	50
Edo9								HistoricAsia	Edo_Japan	Historic	Asia	2	48
Edo8								HistoricAsia	Edo_Japan	Historic	Asia	2	43
Edo4								HistoricAsia	Edo_Japan	Historic	Asia	2	44
Edo3								HistoricAsia	Edo_Japan	Historic	Asia	2	55
Edo2								HistoricAsia	Edo_Japan	Historic	Asia	2	48
Edo1								HistoricAsia	Edo_Japan	Historic	Asia	2	47
